PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 3 y 6,uiojmontalvoj1,uiotndvillaspuente1,R1AD24A,172.30.251.181,2/7,CAMBIADO
Home ADSL Mixto 1 y 2,stdmvpalm_m,stdtrbtribuna1,R1AD24A,172.30.253.82,2/14,CAMBIADO
Home ADSL Mixto 1 y 2,stdkvmacia_m,stdtrbtribuna1,R1AD24A,172.30.253.82,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,stdajvela_m,stdtrbtribuna1,R1AD24A,172.30.253.82,2/10,CAMBIADO
Home ADSL Mixto 1 y 2,stdamcarrera1,stdtrbtribuna1,R1AD24A,172.30.253.82,2/7,CAMBIADO
Home ADSL Mixto 4 y 8,stdjolive,stdtrbtribuna1,R1AD24A,172.30.253.82,2/12,CAMBIADO
Home ADSL Mixto 2 y 4,stdjlpine_m,stdtrbtribuna1,R1AD24A,172.30.253.82,2/1,CAMBIADO
Home ADSL Mixto 2 y 4,stdlzheng_m2,stdtrbtribuna1,R1AD24A,172.30.253.82,2/9,CAMBIADO
Home ADSL Mixto 6 y 12,uiocjmaldona_m,uiosgqlacolina1,R1AD24A,172.30.251.242,2/5,CAMBIADO
Home ADSL Mixto 1 y 2,trosvalva_m,trotroealfaro3,R1AD24A,10.114.4.252,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,trowsbrav_m,trotroealfaro3,R1AD24A,10.114.4.252,2/7,CAMBIADO
Home ADSL Mixto 1 y 2,trocepera_m,trotroealfaro3,R1AD24A,10.114.4.252,2/18,CAMBIADO
Home ADSL Mixto 1 y 2,troclcast_m,trotroealfaro3,R1AD24A,10.114.4.252,2/8,CAMBIADO
Home ADSL Mixto 1 y 2,trocmruizb_m,trotroealfaro3,R1AD24A,10.114.4.252,2/16,CAMBIADO
Home ADSL Mixto 1 y 2,trodematu_m,trotroealfaro3,R1AD24A,10.114.4.252,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,troesduch_m,trotroealfaro3,R1AD24A,10.114.4.252,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,trohasali_m,trotroealfaro3,R1AD24A,10.114.4.252,2/17,CAMBIADO
Home ADSL Mixto 1 y 2,troncintr_m,trotroealfaro3,R1AD24A,10.114.4.252,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,trojhrein_m,trotroealfaro3,R1AD24A,10.114.4.252,2/15,CAMBIADO
Home ADSL Mixto 1 y 2,troallemac_m,trotroealfaro3,R1AD24A,10.114.4.252,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,trobmpalo_m,trotroealfaro3,R1AD24A,10.114.4.252,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,troalherediac1,trotroealfaro3,R1AD24A,10.114.4.252,2/20,CAMBIADO
Home ADSL Mixto 2 y 4,trorguapig_m,trotroealfaro3,R1AD24A,10.114.4.252,2/24,CAMBIADO
